Cycle,NO.1,NO.2,NO.3,NO.4,NO.5,NO.6,NO.7,NO.8,NO.9,NO.10,NO.11,NO.12,NO.13,NO.14,NO.15,NO.16,NO.17,NO.18,NO.19,NO.20,NO.21,NO.22,NO.23,NO.24,NO.25,NO.26,NO.27,NO.28,NO.29,NO.30,NO.31,NO.32,NO.33,NO.34,NO.35,NO.36,NO.37,NO.38,NO.39,NO.40,NO.41,NO.42,NO.43,NO.44,NO.45,NO.46,NO.47,NO.48,NO.49,NO.50,NO.51,NO.52,NO.53,NO.54,NO.55,NO.56,NO.57,NO.58,NO.59,NO.60,NO.61,NO.62,NO.63,NO.64,NO.65,NO.66,NO.67,NO.68,NO.69,NO.70,NO.71,NO.72,NO.73,NO.74,NO.75,NO.76,NO.77,NO.78,NO.79
11,1.078671033,1.059791701,1.076785775,1.067422343,1.084868858,1.07637276,1.062031963,1.088142321,1.076752463,1.088397496,1.080663229,1.08161697,1.086088606,1.080282842,1.094259558,1.07963236,1.093826359,1.07416232,1.080691293,1.076880149,1.074503716,1.08505984,1.082073343,1.08065353,1.084911504,1.069200101,1.08604296,1.086953559,1.076357062,1.095079062,1.032961402,1.068712458,1.055742287,1.070558745,1.068573661,1.057508945,1.029008912,1.07489152,1.086305535,1.075214557,1.082436147,1.071348026,1.071374914,1.066303188,1.075846646,1.068926957,1.075822045,1.07862045,1.040865089,1.070486358,1.079337522,1.084992204,1.074964471,1.070577901,1.085104368,1.081841811,1.073768517,1.085819802,1.078744126,1.073825315,1.083514448,1.079008974,1.075519506,1.072555868,1.079102382,1.043857388,1.07055437,1.047415831,1.063190892,1.06029004,1.060572752,1.064884132,1.065135557,1.069332918,1.07269591,1.060403853,1.059243326,1.052659887,1.067620244
12,1.078678002,1.059757229,1.076738955,1.067412056,1.084899763,1.076374976,1.061979929,1.088019137,1.076746445,1.088387288,1.08058908,1.081579129,1.086035855,1.080287109,1.094246268,1.079575589,1.093763469,1.074119397,1.080617702,1.076807084,1.074500035,1.084992828,1.082060396,1.080663394,1.084767725,1.069112279,1.085879925,1.086809267,1.076438677,1.095046228,1.03252574,1.068646997,1.055558222,1.070236624,1.068527305,1.057285487,1.028942451,1.074804094,1.086160408,1.075110958,1.082320325,1.071148692,1.071269526,1.066217478,1.075751949,1.068827656,1.075710783,1.078585345,1.040573524,1.070438165,1.079329654,1.084917743,1.074886856,1.070559484,1.085050581,1.08177177,1.073801625,1.085816089,1.078622009,1.073748771,1.08334269,1.078896236,1.075486355,1.072485514,1.079121089,1.043890403,1.070465002,1.047107826,1.063269233,1.060368753,1.060586701,1.064890943,1.065158775,1.069347419,1.072722838,1.060472757,1.059274907,1.05271034,1.067643436
13,1.078684732,1.059722343,1.076691916,1.067400698,1.084929256,1.076376373,1.061925788,1.087896557,1.076739859,1.088376373,1.080515154,1.081540953,1.085983153,1.080289709,1.094232138,1.079518506,1.093700418,1.074076161,1.080544103,1.07673383,1.074494666,1.084925549,1.082047248,1.080672474,1.084625537,1.069024574,1.085719255,1.086666744,1.076515931,1.095012957,1.032078841,1.068577588,1.055372074,1.069917226,1.068479366,1.057062206,1.028870427,1.074713448,1.086015604,1.075005245,1.08220333,1.070950848,1.071163482,1.06612854,1.075654469,1.068726885,1.075599722,1.078548618,1.040269781,1.070387139,1.079319717,1.084843086,1.074808679,1.070536341,1.084995775,1.081700936,1.073829948,1.085809099,1.078499056,1.073670283,1.083172434,1.078783382,1.07545284,1.072413143,1.079135398,1.043920753,1.070374252,1.046798306,1.06334592,1.060445936,1.060600206,1.064897173,1.065181063,1.069361074,1.072748739,1.06054027,1.059305484,1.052759092,1.067666248
14,1.078691226,1.05968705,1.076644662,1.067388284,1.084957352,1.07637696,1.06186957,1.087774581,1.076732707,1.088364758,1.080441451,1.081502445,1.085930498,1.080290664,1.094217176,1.079461118,1.093637211,1.074032621,1.080470499,1.076660396,1.074487634,1.084858014,1.0820339,1.080680775,1.084484929,1.068936993,1.085560925,1.086525973,1.07658888,1.094979256,1.031621004,1.068504289,1.055183874,1.069600528,1.06842987,1.056839112,1.028792944,1.07461965,1.085871123,1.074897454,1.08208519,1.070754484,1.071056806,1.066036436,1.075554254,1.068624678,1.075488871,1.078510306,1.039954139,1.070333335,1.07930775,1.084768252,1.074729968,1.070508566,1.084939974,1.081629341,1.073853578,1.085798907,1.078375284,1.073589905,1.083003674,1.078670425,1.075418978,1.072338799,1.079145414,1.043948465,1.070282154,1.046487302,1.063420962,1.060521601,1.060613267,1.064902825,1.065202429,1.069373889,1.072773621,1.060606402,1.059335063,1.052806161,1.067688683
15,1.078697482,1.059651356,1.076597196,1.067374831,1.084984064,1.076376744,1.061811303,1.087653208,1.076724996,1.08835245,1.080367973,1.08146361,1.085877892,1.080289996,1.094201393,1.079403432,1.093573852,1.073988783,1.080396898,1.076586791,1.074478967,1.084790236,1.082020353,1.080688302,1.08434589,1.068849542,1.085404913,1.086386941,1.076657578,1.094945128,1.031152525,1.068427157,1.054993652,1.069286505,1.068378845,1.056616215,1.028710104,1.074522768,1.085726968,1.074787622,1.081965935,1.070559592,1.070949523,1.06594123,1.075451354,1.068521069,1.075378238,1.078470449,1.039626875,1.070276808,1.079293793,1.084693257,1.074650749,1.070476249,1.084883202,1.081557016,1.073872609,1.085785583,1.078250709,1.073507688,1.082836401,1.078557379,1.075384784,1.072262524,1.079151238,1.043973565,1.07018874,1.04617485,1.063494372,1.060595756,1.060625885,1.064907902,1.065222877,1.06938587,1.072797492,1.060671159,1.059363652,1.052851562,1.06771074
16,1.078703503,1.059615269,1.076549524,1.067360352,1.085009406,1.076375735,1.061751016,1.087532435,1.076716729,1.088339457,1.080294721,1.081424451,1.085825335,1.080287729,1.094184796,1.079345455,1.093510348,1.073944655,1.080323304,1.076513023,1.07446869,1.084722225,1.082006608,1.080695061,1.084208408,1.068762227,1.085251192,1.086249632,1.076722079,1.09491058,1.030673693,1.068346249,1.054801438,1.068975133,1.068326317,1.056393526,1.02862201,1.07442287,1.085583137,1.074675783,1.081845595,1.070366164,1.070841656,1.065842986,1.075345813,1.068416092,1.075267829,1.078429086,1.039288263,1.070217611,1.079277882,1.084618119,1.074571046,1.070439483,1.084825482,1.08148399,1.073887132,1.085769198,1.078125348,1.073423683,1.082670606,1.078444255,1.075350276,1.072184358,1.079152973,1.043996078,1.070094044,1.045860983,1.063566159,1.060668411,1.060638065,1.064912408,1.065242415,1.069397022,1.072820358,1.060734552,1.059391256,1.052895312,1.067732423
17,1.078709289,1.059578795,1.076501648,1.067344864,1.085033391,1.076373942,1.061688737,1.087412262,1.076707911,1.088325786,1.080221694,1.081384974,1.085772828,1.080283882,1.094167395,1.079287195,1.093446702,1.073900245,1.080249724,1.076439101,1.07445683,1.084653992,1.081992665,1.080701058,1.084072472,1.068675055,1.085099741,1.086114032,1.076782437,1.094875617,1.030184797,1.068261621,1.054607262,1.068666386,1.068272312,1.056171055,1.028528764,1.074320022,1.085439631,1.074561972,1.081724197,1.070174191,1.070733226,1.065741764,1.075237681,1.068309781,1.075157653,1.078386254,1.038938573,1.070155798,1.079260056,1.084542852,1.074490887,1.070398358,1.084766837,1.081410294,1.073897239,1.085749823,1.077999216,1.073337941,1.082506282,1.078331066,1.075315467,1.072104342,1.079150717,1.044016029,1.069998099,1.045545734,1.063636335,1.060739578,1.060649806,1.064916346,1.065261047,1.069407352,1.072842227,1.060796589,1.059417881,1.052937426,1.067753731
18,1.078714841,1.059541941,1.076453574,1.067328381,1.085056034,1.076371374,1.061624496,1.087292687,1.076698545,1.088311443,1.080148893,1.081345181,1.08572037,1.08027848,1.0941492,1.079228659,1.09338292,1.07385556,1.080176163,1.076365033,1.074443414,1.084585549,1.081978526,1.080706299,1.083938071,1.068588031,1.084950535,1.085980126,1.076838705,1.094840244,1.029686117,1.068173328,1.054411153,1.06836024,1.068216857,1.055948812,1.028430467,1.074214291,1.085296449,1.074446225,1.081601769,1.069983663,1.070624257,1.065637628,1.075127001,1.068202167,1.075047715,1.078341991,1.038578071,1.070091422,1.079240353,1.084467475,1.074410295,1.070352962,1.084707288,1.081335957,1.07390302,1.085727527,1.077872329,1.07325051,1.082343419,1.078217824,1.075280373,1.072022518,1.07914457,1.044033444,1.069900935,1.045229135,1.063704911,1.060809265,1.060661111,1.06491972,1.06527878,1.069416864,1.072863108,1.060857279,1.059443535,1.052977922,1.067774667
19,1.078720158,1.059504713,1.076405304,1.067310919,1.085077347,1.076368038,1.061558321,1.087173709,1.076688638,1.088296437,1.08007632,1.081305077,1.085667961,1.080271542,1.094130218,1.079169854,1.093319006,1.073810609,1.080102625,1.076290828,1.074428467,1.084516905,1.081964191,1.080710789,1.083805193,1.068501162,1.08480355,1.0858479,1.076890937,1.094804467,1.029177935,1.068081425,1.05421314,1.06805667,1.068159976,1.055726805,1.028327217,1.074105742,1.08515359,1.074328574,1.081478339,1.069794573,1.070514771,1.065530637,1.075013821,1.068093285,1.074938022,1.078296334,1.038207024,1.070024535,1.07921881,1.084392002,1.074329295,1.070303385,1.08464686,1.081261007,1.073904563,1.085702378,1.077744703,1.073161439,1.082182007,1.078104539,1.075245009,1.071938925,1.07913463,1.044048349,1.069802585,1.04491122,1.063771897,1.060877483,1.060671982,1.064922532,1.065295621,1.069425565,1.072883007,1.060916631,1.059468223,1.053016815,1.067795232
20,1.078725243,1.059467119,1.076356844,1.067292492,1.085097344,1.076363944,1.061490238,1.087055327,1.076678193,1.088280775,1.080003974,1.081264666,1.085615603,1.080263091,1.09411046,1.079110787,1.093254965,1.073765397,1.080029118,1.076216493,1.074412014,1.084448071,1.081949661,1.080714534,1.083673828,1.068414454,1.084658763,1.085717337,1.076939185,1.09476829,1.028660524,1.067985967,1.054013251,1.067755651,1.068101695,1.055505045,1.028219115,1.073994438,1.085011056,1.074209055,1.081353936,1.06960691,1.070404788,1.065420851,1.074898185,1.067983164,1.074828582,1.078249321,1.03782569,1.069955189,1.079195462,1.084316449,1.074247912,1.070249714,1.084585573,1.081185473,1.073901958,1.085674444,1.077616351,1.073070775,1.082022038,1.077991222,1.075209388,1.071853602,1.079120991,1.044060767,1.06970308,1.044592021,1.063837306,1.060944241,1.060682421,1.064924786,1.065311575,1.069433459,1.072901932,1.060974652,1.059491951,1.05305412,1.067815427
21,1.078730095,1.059429165,1.076308196,1.067273115,1.085116039,1.076359101,1.061420278,1.086937539,1.076667214,1.088264462,1.079931856,1.081223952,1.085563296,1.080253148,1.094089933,1.079051465,1.093190801,1.073719933,1.079955646,1.076142038,1.074394081,1.084379058,1.081934937,1.080717539,1.083543964,1.068327912,1.08451615,1.085588424,1.076983502,1.094731718,1.028134155,1.067887007,1.053811516,1.067457159,1.068042039,1.05528354,1.028106258,1.073880443,1.084868843,1.074087699,1.081228585,1.069420666,1.070294332,1.06530833,1.074780137,1.067871837,1.074719399,1.078200986,1.03743433,1.069883435,1.079170347,1.084240832,1.074166169,1.070192035,1.08452345,1.081109382,1.073895291,1.08564379,1.07748729,1.072978565,1.0818635,1.077877884,1.075173523,1.071766589,1.079103749,1.044070725,1.06960245,1.044271569,1.063901147,1.061009549,1.060692429,1.064926486,1.065326647,1.069440553,1.07291989,1.061031352,1.059514726,1.053089854,1.067835253
22,1.078734715,1.059390858,1.076259366,1.067252803,1.085133444,1.076353516,1.061348467,1.086820344,1.076655706,1.088247508,1.079859967,1.081182939,1.085511039,1.080241734,1.094068647,1.078991895,1.09312652,1.073674224,1.079882213,1.076067469,1.074374693,1.084309876,1.08192002,1.08071981,1.08341559,1.068241541,1.084375687,1.085461146,1.07702394,1.094694757,1.027599096,1.067784601,1.053607961,1.067161169,1.067981031,1.055062299,1.027988743,1.073763819,1.084726953,1.073964541,1.081102313,1.069235831,1.070183423,1.065193133,1.074659723,1.067759334,1.07461048,1.078151366,1.037033197,1.069809323,1.0791435,1.084165164,1.074084091,1.070130435,1.084460512,1.081032762,1.073884649,1.085610484,1.077357534,1.072884854,1.081706385,1.077764535,1.075137427,1.071677924,1.079082997,1.044078247,1.069500725,1.043949897,1.063963432,1.061073418,1.060702009,1.064927635,1.065340845,1.069446852,1.07293689,1.061086739,1.059536555,1.053124033,1.067854712
23,1.078739104,1.059352203,1.076210356,1.067231571,1.085149573,1.076347199,1.061274834,1.08670374,1.076643673,1.088229917,1.079788308,1.081141631,1.085458834,1.080228871,1.09404661,1.078932082,1.093062125,1.073628276,1.079808827,1.075992794,1.074353874,1.084240536,1.08190491,1.080721353,1.083288694,1.068155349,1.084237351,1.085335486,1.077060552,1.094657412,1.027055609,1.067678799,1.053402615,1.066867654,1.067918697,1.05484133,1.027866667,1.073644628,1.084585382,1.073839613,1.080975147,1.069052397,1.07007208,1.065075317,1.074536985,1.067645686,1.074501831,1.078100495,1.036622545,1.069732904,1.079114957,1.084089462,1.074001698,1.070064998,1.084396779,1.080955638,1.073870116,1.085574589,1.077227096,1.072789689,1.081550682,1.077651185,1.075101114,1.071587645,1.079058828,1.044083358,1.069397935,1.043627037,1.064024171,1.061135856,1.060711163,1.064928236,1.065354173,1.069452362,1.072952938,1.061140823,1.059557442,1.053156673,1.067873805
24,1.078743263,1.059313208,1.076161171,1.067209433,1.085164439,1.076340157,1.061199405,1.086587726,1.07663112,1.088211699,1.079716878,1.081100032,1.08540668,1.080214579,1.094023831,1.078872036,1.092997622,1.073582097,1.07973549,1.075918022,1.074331651,1.084171046,1.08188961,1.080722173,1.083163266,1.06806934,1.084101118,1.085211431,1.077093388,1.094619688,1.026503952,1.067569656,1.053195504,1.066576592,1.06785506,1.054620642,1.027740126,1.073522931,1.084444131,1.073712947,1.080847113,1.068870353,1.069960325,1.06495494,1.074411967,1.067530923,1.074393457,1.078048409,1.036202621,1.069654227,1.079084753,1.084013739,1.073919016,1.069995808,1.084332274,1.080878038,1.073851779,1.08553617,1.077095992,1.072693113,1.081396379,1.077537842,1.075064594,1.07149579,1.079031333,1.044086082,1.06929411,1.043303018,1.064083375,1.061196873,1.060719892,1.064928292,1.065366639,1.069457087,1.072968041,1.06119361,1.059577396,1.053187788,1.067892533
25,1.078747192,1.059273879,1.076111815,1.067186403,1.085178055,1.076332399,1.061122208,1.0864723,1.07661805,1.088192859,1.079645679,1.081058145,1.085354577,1.08019888,1.09400032,1.078811761,1.092933015,1.073535694,1.079662209,1.07584316,1.074308047,1.084101418,1.081874119,1.080722275,1.083039293,1.067983519,1.083966964,1.085088965,1.077122501,1.094581589,1.025944382,1.067457222,1.052986656,1.066287955,1.067790142,1.054400243,1.027609213,1.073398788,1.084303197,1.073584575,1.080718236,1.06868969,1.069848178,1.064832059,1.07428471,1.067415073,1.074285364,1.077995142,1.035773672,1.069573341,1.079052921,1.083938008,1.073836064,1.069922948,1.084267015,1.080799986,1.073829719,1.085495291,1.076964235,1.072595169,1.081243467,1.077424516,1.07502788,1.071402395,1.079000601,1.044086444,1.069189278,1.042977874,1.064141054,1.06125648,1.060728198,1.064927807,1.065378247,1.069461035,1.072982208,1.061245111,1.059596421,1.053217395,1.067910899
26,1.078750892,1.059234221,1.076062291,1.067162496,1.085190435,1.076323934,1.06104327,1.086357461,1.076604469,1.088173404,1.07957471,1.081015975,1.085302527,1.080181794,1.093976084,1.078751264,1.092868308,1.073489074,1.079588989,1.075768216,1.074283087,1.08403166,1.081858438,1.080721665,1.082916765,1.067897892,1.083834866,1.084968074,1.07714794,1.094543121,1.025377148,1.06734155,1.052776097,1.066001719,1.067723968,1.05418014,1.027474024,1.073272258,1.084162579,1.073454528,1.080588542,1.068510398,1.069735658,1.06470673,1.074155258,1.067298166,1.074177555,1.077940727,1.035335941,1.069490294,1.079019497,1.083862285,1.073752866,1.069846501,1.084201024,1.080721509,1.073804021,1.085452012,1.076831837,1.072495899,1.081091934,1.077311215,1.074990982,1.071307498,1.078966721,1.044084469,1.069083468,1.042651633,1.064197221,1.061314686,1.060736083,1.064926785,1.065389004,1.069464209,1.072995445,1.061295333,1.059614524,1.053245508,1.067928902
27,1.078754364,1.059194242,1.076012603,1.067137726,1.085201591,1.076314769,1.060962619,1.086243208,1.07659038,1.088153342,1.079503972,1.080973526,1.08525053,1.080163342,1.093951132,1.078690553,1.092803505,1.073442243,1.079515833,1.075693196,1.074256794,1.083961782,1.081842568,1.080720349,1.08279567,1.067812465,1.0837048,1.084848741,1.077169758,1.094504289,1.024802499,1.06722269,1.052563853,1.065717859,1.067656561,1.053960342,1.02733465,1.073143399,1.084022275,1.073322837,1.080458055,1.068332467,1.069622784,1.064579007,1.074023652,1.06718023,1.074070037,1.077885197,1.034889668,1.069405133,1.078984515,1.083786581,1.073669443,1.069766548,1.084134321,1.080642629,1.073774765,1.085406397,1.076698813,1.072395347,1.080941768,1.077197948,1.074953911,1.071211133,1.07892978,1.04408018,1.068976707,1.042324327,1.064251885,1.061371501,1.060743549,1.064925228,1.065398916,1.069466616,1.07300776,1.061344286,1.059631711,1.053272145,1.067946545
